family,cap_label,scenario_id,co2_cap_mt,western_emissions_mt,western_cost_b,ca_prod_mt,ca_cons_mt,ca_net_import_twh,ca_cost_b,generator_added_gw,storage_added_gw,transmission_added_gw,load_scale,extendable_transmission
Base xtrans,100%,A_co2_100_hourly_xtrans,,57.92306341912928,4.701584528342312,9.081517316568467,11.528614290254424,-143.19219037402024,4.381894201586033,94.30324027064474,0.0,45.11491433208707,1.0,
Base xtrans,50%,A_co2_50_hourly_xtrans,28.96153170956464,28.96153170960948,5.164780108487345,5.4539990508549305,7.511002707044091,-157.83925481969555,4.648596834766408,125.75823416367476,0.0,78.53970119418099,1.0,
Base xtrans,20%,A_co2_20_hourly_xtrans,11.584612683825856,11.58461268380096,6.27383315824193,2.302729794633287,3.709451667065129,-151.73574226927883,4.694442205654292,137.24965458993483,0.0,105.51037811204895,1.0,
Base xtrans,5%,A_co2_05_hourly_xtrans,2.896153170956464,2.8961531709613197,8.044816947639102,1.437646103794635,1.8443687569853953,-111.42192596870227,4.506541111312083,178.40220733610897,0.0,126.27080984158177,1.0,
Base xtrans,0%,A_co2_00_hourly_xtrans,0.0,0.0,10.365088950072622,0.0,0.0,-83.30865695837683,5.2949556911310385,210.7658706981055,0.0,146.28231064809987,1.0,
Demand +10% xtrans,100%,S_demandp10_co2_100_xtrans,,69.68432497628653,6.565549177686521,10.824461540602105,13.738075393785554,-159.21300670470487,5.023225507223743,113.53598108875538,0.0,62.37146314748055,1.1,True
Demand +10% xtrans,50%,S_demandp10_co2_50_xtrans,34.842162488143266,34.842162488112464,7.033681985617964,6.772083226787412,9.266563734293292,-177.55510522138218,5.303961639395427,148.2619898762201,0.0,98.86608095410149,1.1,True
Demand +10% xtrans,20%,S_demandp10_co2_20_xtrans,13.936864995257308,13.93686499530307,8.305217262804465,2.923007022083872,4.632476561185262,-162.63114457561664,5.265189699231897,164.8751179066148,0.0,130.65471776170554,1.1,True
Demand +10% xtrans,5%,S_demandp10_co2_05_xtrans,3.484216248814327,3.484216248813365,10.356977419027254,1.856323507442404,2.2850832009114495,-115.75578584473523,5.146024100995943,212.4511186791376,0.0,152.8400244453095,1.1,True
Demand +10% xtrans,0%,S_demandp10_co2_00_xtrans,0.0,0.0,13.051431316710893,0.0,0.0,-90.68924483146277,6.302730573717278,248.69508794886846,0.0,178.29719021002185,1.1,True
