carrier,generation_MWh,co2_emissions_tonnes,operating_cost_USD,annualized_capacity_cost_USD_per_year,annualized_added_capacity_cost_USD_per_year,existing_capacity_MW,optimized_capacity_MW,added_capacity_MW,generation_share_percent
onwind,332132272.32982016,0.0,-3937425798.306287,7098749673.774342,6939165705.774342,6078.0,68125.08805946447,62047.08805946447,76.57108113129873
CCGT,45147151.712739855,17786420.63785739,1182099307.0995388,530667333.57074654,11803183.888198173,22825.699999999997,18762.685033403206,98.50698726837402,10.408402027281332
hydro,25731855.997506157,0.0,0.0,2410624987.4628644,0.0,12976.837,12976.837,0.0,5.93232334642669
solar,17373549.053392883,0.0,0.0,244530797.34999996,0.0,24794.5,24794.5,0.0,4.005366370374554
geothermal,10562153.047346331,1345497.2034836095,29505810.473706,1143587633.2156477,0.0,2772.3,2772.3,0.0,2.4350403296745116
OCGT,2330516.248548245,1302612.7903982464,87659607.4526105,260533322.94052166,0.0,16938.8,11426.900128970246,0.0,0.5372863874191356
oil,260046.04522393312,284037.0366325856,8138651.983378023,0.0,0.0,449.79999999999995,449.79999999999995,0.0,0.05995203864724645
biomass,219256.98801569905,0.0,7350188.882563844,410961642.685,0.0,972.5,972.5,0.0,0.05054836887781387
CCGT-95CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0
hydrogen_ct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,0.0,0.0,0.0,0.0,0.0,2323.0,0.0,0.0,0.0
offwind_floating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
